desc,model,weighted,train_f1_micro,train_f1_macro,train_f1_weighted,train_accuracy,test_f1_micro,test_f1_macro,test_f1_weighted,test_accuracy,time,mode,hidden_size,input_size,layers,train_loss,test_loss
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.7286549707602339,0.4019363910592266,0.6357686876655808,0.7286549707602339,0.7102803738317757,0.3791577825159914,0.6113175776657434,0.7102803738317757,1604415033.4429913,hidden,128.0,32.0,1.0,1.1581610441207886,1.1676450967788696
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8467836257309942,0.7814963477256933,0.8365737340019395,0.8467836257309942,0.766355140186916,0.6647313129187273,0.7475319320378577,0.7663551401869159,1604415044.7507648,hidden,256.0,32.0,1.0,0.7029277086257935,0.8171650767326355
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.8795321637426899,0.8059070568417215,0.8640551728546473,0.87953216374269,0.8037383177570093,0.6807221402249469,0.7714528754932265,0.8037383177570093,1604415054.367699,hidden,256.0,32.0,1.0,0.8543167114257812,0.915373682975769
"ORB(nfeatures=250, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.816374269005848,0.6609915809211753,0.7759370841533886,0.816374269005848,0.7850467289719625,0.6105965463108319,0.7328584632990507,0.7850467289719626,1604415068.7699332,hidden,256.0,32.0,1.0,0.9795713424682617,1.0069586038589478
BRISK(thresh=10),LSTM,,0.912863070539419,0.892944679389744,0.907937770903612,0.9128630705394191,0.7136929460580913,0.6163406832222303,0.7005871420461448,0.7136929460580913,1604415088.32655,cells,128.0,64.0,1.0,0.6400320529937744,0.853983998298645
BRISK(thresh=10),LSTM,,0.9273858921161826,0.9055377030271494,0.9248079982615833,0.9273858921161826,0.6804979253112033,0.5566959537020665,0.6485763942349969,0.6804979253112033,1604415095.30225,cells,128.0,64.0,1.0,0.7326582074165344,0.9067887663841248
BRISK(thresh=10),LSTM,,0.9356846473029046,0.9167654906554581,0.9353813141076595,0.9356846473029046,0.6887966804979253,0.5770360343127878,0.6749842833081682,0.6887966804979253,1604415105.776322,cells,128.0,64.0,1.0,0.8748890161514282,0.9864678978919983
BRISK(thresh=10),LSTM,,0.9844398340248963,0.9772047103104604,0.9843028295294862,0.9844398340248963,0.6970954356846473,0.6150711595215905,0.6895440744077889,0.6970954356846473,1604415119.7059708,cells,256.0,64.0,1.0,0.34500786662101746,0.7770631313323975
BRISK(thresh=10),LSTM,,0.975103734439834,0.9655501762642063,0.9751579940073689,0.975103734439834,0.6514522821576764,0.6063339413773986,0.6740431153257157,0.6514522821576764,1604415134.5416057,cells,256.0,64.0,1.0,0.45427533984184265,0.8382442593574524
BRISK(thresh=10),LSTM,,0.9429460580912863,0.933236215858587,0.9416179101883019,0.9429460580912863,0.7219917012448133,0.6352673634475293,0.7040118318140639,0.7219917012448133,1604415156.7792645,cells,256.0,64.0,1.0,0.5831812024116516,0.8680545091629028
BRISK(thresh=10),LSTM,,0.8381742738589212,0.7917535688087762,0.8200422822428328,0.8381742738589212,0.6887966804979253,0.5691255961219663,0.6590171268387414,0.6887966804979253,1604415186.3725917,cells,128.0,64.0,1.0,0.91995769739151,1.0053725242614746
BRISK(thresh=10),LSTM,,0.7883817427385892,0.667538393616283,0.7347685367689669,0.7883817427385892,0.6887966804979253,0.505430437148558,0.6272872102378911,0.6887966804979253,1604415193.3778608,cells,128.0,64.0,1.0,1.0855469703674316,1.1216723918914795
BRISK(thresh=10),LSTM,,0.7064315352697096,0.5498384243514365,0.6343914223031482,0.7064315352697096,0.6390041493775933,0.4094000384322965,0.5513758786413049,0.6390041493775933,1604415203.8739438,cells,128.0,64.0,1.0,1.1741904020309448,1.1931109428405762
BRISK(thresh=10),LSTM,,0.9076763485477178,0.8836049287287677,0.904135928835645,0.9076763485477178,0.6970954356846473,0.5912338472284588,0.6825779346189924,0.6970954356846473,1604415217.8046107,cells,256.0,64.0,1.0,0.677299976348877,0.8408447504043579
BRISK(thresh=10),LSTM,,0.9014522821576764,0.8768215448742536,0.8950783207065695,0.9014522821576764,0.7385892116182573,0.6290347938830968,0.7212399076926909,0.7385892116182573,1604415232.651425,cells,256.0,64.0,1.0,0.8605538010597229,0.9627722501754761
BRISK(thresh=10),LSTM,,0.7904564315352697,0.7285132738797784,0.7607756174862836,0.7904564315352697,0.6597510373443983,0.5024072785036053,0.6101575027542542,0.6597510373443983,1604415254.8896868,cells,256.0,64.0,1.0,1.0079704523086548,1.0477607250213623
